Date,Time,bioTime,dayOrNight,Relative Humidity,Temperature
02-10-13,10:15:15,04:03:27,day,43.7,32.4
02-10-13,10:36:26,04:24:40,day,43.7,32.8
02-10-13,10:37:27,04:25:41,day,41.7,33.1
02-10-13,10:38:27,04:26:41,day,42.1,33.1
02-10-13,10:39:28,04:27:42,day,41.5,33.2
02-10-13,10:40:28,04:28:42,day,43.6,33.3
02-10-13,10:41:29,04:29:43,day,41.7,33.4
02-10-13,10:42:30,04:30:44,day,40.3,33.4
02-10-13,10:43:30,04:31:44,day,41.4,33.4
02-10-13,10:44:31,04:32:45,day,41.2,33.6
02-10-13,10:45:31,04:33:45,day,39.5,33.7
02-10-13,10:46:32,04:34:46,day,39.2,33.8
02-10-13,10:47:32,04:35:46,day,39.4,33.8
02-10-13,10:48:33,04:36:47,day,40.2,33.8
02-10-13,10:49:33,04:37:47,day,36.6,33.8
02-10-13,10:50:34,04:38:48,day,38.1,33.8
02-10-13,10:51:35,04:39:49,day,37.8,33.9
02-10-13,10:52:35,04:40:50,day,39.2,34
02-10-13,10:53:36,04:41:51,day,39.2,34
02-10-13,10:54:36,04:42:51,day,38.9,34
02-10-13,10:55:37,04:43:52,day,36.1,34
02-10-13,10:56:37,04:44:52,day,35.4,34.1
02-10-13,10:57:38,04:45:53,day,36.5,34.2
02-10-13,10:58:38,04:46:53,day,38.2,34.2
02-10-13,10:59:39,04:47:54,day,38,34.1
02-10-13,11:00:39,04:48:54,day,37.1,34.2
02-10-13,11:01:40,04:49:55,day,36.4,34.1
02-10-13,11:02:41,04:50:56,day,33.4,34.4
02-10-13,11:03:41,04:51:56,day,37.7,34.5
02-10-13,11:04:42,04:52:57,day,35.7,34.5
02-10-13,11:05:42,04:53:57,day,34.5,34.4
02-10-13,11:06:43,04:54:58,day,35.5,34.5
02-10-13,11:07:43,04:55:58,day,36.8,34.5
02-10-13,11:18:49,05:07:05,day,33.4,35.1
02-10-13,11:19:50,05:08:06,day,33.2,35.2
02-10-13,11:20:50,05:09:06,day,32,35.3
02-10-13,11:21:51,05:10:07,day,34.9,35.2
02-10-13,11:22:51,05:11:07,day,34.9,35.2
02-10-13,11:23:52,05:12:08,day,34.8,35.3
02-10-13,11:24:52,05:13:08,day,35,35.2
02-10-13,11:25:53,05:14:09,day,33.9,35.2
02-10-13,11:26:54,05:15:10,day,35.5,35
02-10-13,11:27:54,05:16:10,day,33.2,35.1
02-10-13,11:28:55,05:17:12,day,34.2,35.1
02-10-13,11:29:55,05:18:12,day,33.2,35.2
02-10-13,11:30:56,05:19:13,day,32.5,35.2
02-10-13,11:31:56,05:20:13,day,33.2,35.3
02-10-13,11:32:57,05:21:14,day,31.6,35.5
02-10-13,11:33:57,05:22:14,day,33.7,35.6
02-10-13,11:34:58,05:23:15,day,32.6,35.7
02-10-13,11:35:58,05:24:15,day,33,35.8
02-10-13,11:36:59,05:25:16,day,31.6,35.9
02-10-13,11:38:00,05:26:17,day,32.1,35.8
02-10-13,11:39:00,05:27:17,day,32.2,35.9
02-10-13,11:40:01,05:28:18,day,33,36
02-10-13,11:41:01,05:29:18,day,30,36
02-10-13,11:42:02,05:30:19,day,31.4,36
02-10-13,11:43:02,05:31:19,day,31.3,35.9
02-10-13,11:44:03,05:32:20,day,32,35.8
02-10-13,11:45:03,05:33:20,day,30.9,36
02-10-13,11:46:04,05:34:22,day,31,36.1
02-10-13,11:47:04,05:35:22,day,30.1,36.2
02-10-13,11:48:05,05:36:23,day,30.9,36.2
02-10-13,11:49:06,05:37:24,day,30.3,36.4
02-10-13,11:50:06,05:38:24,day,30.4,36.3
02-10-13,11:51:07,05:39:25,day,30.1,36.4
02-10-13,11:52:07,05:40:25,day,29.6,36.5
02-10-13,11:53:08,05:41:26,day,29.8,36.5
02-10-13,11:54:08,05:42:26,day,29.2,36.4
02-10-13,11:55:09,05:43:27,day,30.1,36.4
02-10-13,11:56:09,05:44:27,day,27.5,36.3
02-10-13,11:57:10,05:45:28,day,30.5,36.2
02-10-13,11:58:10,05:46:28,day,30,36.1
02-10-13,11:59:11,05:47:29,day,30.2,36.1
02-10-13,12:00:12,05:48:30,day,29.3,36.3
02-10-13,12:01:12,05:49:30,day,27.4,36.6
02-10-13,12:02:13,05:50:31,day,29.4,36.8
02-10-13,12:03:13,05:51:31,day,28.6,36.9
02-10-13,12:04:14,05:52:33,day,29.5,36.9
02-10-13,12:05:14,05:53:33,day,28,36.9
02-10-13,12:06:15,05:54:34,day,29.2,37
02-10-13,12:07:15,05:55:34,day,29.9,36.9
02-10-13,12:08:16,05:56:35,day,29.6,36.8
02-10-13,12:09:16,05:57:35,day,28.7,36.9
02-10-13,12:10:17,05:58:36,day,28.2,36.9
02-10-13,12:11:18,05:59:37,day,27.2,37
02-10-13,12:12:18,06:00:37,day,28.7,37
